customer_id,application_id,application_hour,application_day_of_week,account_open_year,preferred_contact,referral_code,account_status_code,random_noise_1,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,employment_length_missing,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow,revolving_balance_missing,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
100020,628899,11,4,2014,Email,REF0000,ACT-1,-0.308229,8,1,1,1,62,22600,6.1,full_time,high_school,Divorced,1,0,723,19,21.2,254.39999999999998,22300.0,0.0,2,2,0,0,0.611,personal,27200,24,13.09,Debt Consolidation,0.0,Broker,997,F,1883.33,656.83,1294.29,1.036,1.036,0.687,0.33,7359.0,14941.0,1951.12,23413.44,1.204,34559.0,-67.787,0,NY,4.4,72000,1620,139,114,200
100021,554876,20,4,2014,Email,REF0000,ACT-3,-0.527331,6,4,1,0,19,20000,1.7,full_time,some_college,Single,2,0,631,0,1.0,12.0,35800.0,0.0,2,2,0,0,0.188,personal,22500,36,14.58,Major Purchase,0.0,Online,1071,M,1667.0,229.43,775.35,0.603,0.603,0.465,0.49,17542.0,18258.0,1004.78,12057.36,1.125,40042.0,661.887,0,IL,4.9,65000,1510,104,93,478
100022,611485,0,6,2013,Phone,REF0000,ACT-1,0.293984,10,3,0,1,43,38500,3.8,full_time,bachelor,Married,1,0,718,7,22.8,273.6,66400.0,0.0,0,0,0,0,0.452,credit_card,7000,0,16.93,Revolving Credit,0.0,Broker,1048,A,3208.33,903.6,210.0,0.347,0.347,0.065,0.436,28950.4,37449.6,1113.6,13363.2,0.182,35950.4,2094.73,0,CA,5.2,75000,1620,159,135,418
100023,547280,13,2,2020,Phone,REF0000,ACT-2,1.265152,15,1,0,0,47,59300,3.7,full_time,bachelor,Married,1,0,716,11,12.1,145.2,75900.0,0.0,2,2,0,0,0.449,mortgage,134500,360,6.84,Home Purchase,0.774,Online,1075,K,4941.67,1829.17,880.43,0.548,0.548,0.178,0.195,14800.5,61099.5,2709.6,32515.2,2.268,149300.5,2232.07,0,MI,6.2,57000,1410,102,91,802
100024,627043,0,5,2013,Email,REF0000,ACT-2,1.425246,13,2,0,1,52,21400,5.0,full_time,bachelor,Married,0,0,700,14,13.7,164.39999999999998,35200.0,0.0,1,1,0,0,0.475,mortgage,113700,180,6.75,Home Purchase,0.683,Broker,1014,G,1783.33,664.66,1006.14,0.937,0.937,0.564,0.429,15100.8,20099.2,1670.8,20049.6,5.313,128800.8,112.53,0,NJ,5.5,82000,2000,126,110,887
100025,636088,6,1,2015,Phone,REF9668,ACT-2,-0.044183,10,3,0,1,44,58500,9.4,full_time,bachelor,Married,1,0,744,6,11.7,140.39999999999998,189700.0,0.0,2,2,0,0,0.235,credit_card,2200,0,17.39,Revolving Credit,0.0,Broker,1099,W,4875.0,1318.43,66.0,0.284,0.284,0.014,0.631,119700.7,69999.3,1384.43,16613.16,0.038,121900.7,3490.57,0,MA,4.2,81000,1880,150,132,806
100026,603866,11,2,2020,Email,REF0000,ACT-1,1.865116,8,2,1,1,34,78100,11.5,full_time,advanced,Single,0,0,764,11,4.0,48.0,222100.0,0.0,2,2,0,0,0.184,personal,22200,48,10.18,Major Purchase,0.0,Online,1070,G,6508.33,325.81,564.97,0.137,0.137,0.087,0.591,131261.1,90838.9,890.78,10689.36,0.284,153461.1,5617.55,0,TN,4.6,53000,1210,104,81,887
100027,567742,11,1,2010,Email,REF0000,ACT-2,-0.065485,6,0,0,1,24,30700,1.3,full_time,advanced,Married,1,0,688,0,6.0,72.0,29800.0,0.0,2,2,0,0,0.137,personal,10800,36,12.25,Debt Consolidation,0.0,Broker,1078,W,2558.33,270.33,360.01,0.246,0.246,0.141,0.836,24912.8,4887.2,630.34,7564.08,0.352,35712.8,1927.99,0,MI,5.5,57000,1440,97,79,190
100028,600467,20,2,2014,Mail,REF3859,ACT-3,2.178506,15,1,1,0,48,78300,1.3,full_time,bachelor,Married,3,0,796,11,7.8,93.6,265600.0,0.0,0,0,0,0,0.346,personal,27300,36,10.78,Debt Consolidation,0.0,Broker,1088,Q,6525.0,482.37,890.93,0.21,0.21,0.137,0.542,143955.2,121644.8,1373.3,16479.6,0.349,171255.2,5151.7,0,VA,3.9,74000,1710,127,105,543
100029,564175,13,1,2018,Phone,REF0000,ACT-1,-1.411818,6,1,1,1,30,36800,6.7,full_time,bachelor,Single,0,0,709,6,8.9,106.80000000000001,26700.0,0.0,3,3,0,1,0.307,personal,21900,36,12.34,Major Purchase,0.0,Online,1044,U,3066.67,414.33,730.95,0.373,0.373,0.238,0.681,18182.7,8517.3,1145.28,13743.36,0.595,40082.7,1921.387,0,CA,5.7,75000,1650,154,120,127
100030,564345,5,4,2021,Email,REF0000,ACT-2,-1.252248,22,2,0,0,55,26100,7.0,full_time,bachelor,Married,1,0,765,16,12.1,145.2,74400.0,0.0,1,1,0,0,0.369,mortgage,522800,360,6.19,Refinance,0.85,Branch,1043,K,2175.0,781.63,3198.6,1.83,1.83,1.471,0.56,41664.0,32736.0,3980.23,47762.76,20.031,564464.0,-1805.23,0,CA,6.0,75000,1690,156,124,698
100031,558335,23,4,2012,Email,REF0000,ACT-2,0.648875,11,3,1,1,49,32900,10.7,self_employed,some_college,Married,0,0,760,14,8.9,106.80000000000001,25700.0,0.0,0,0,0,0,0.339,mortgage,385800,360,6.19,Refinance,0.851,Branch,1002,F,2742.0,730.03,2360.4,1.127,1.127,0.861,0.364,9354.8,16345.2,3090.43,37085.16,11.726,395154.8,-348.76,0,NY,5.0,72000,1720,144,120,580
100032,637941,19,6,2017,Phone,REF0000,ACT-1,1.341123,15,1,0,0,52,45300,8.3,self_employed,bachelor,Married,1,0,690,9,14.8,177.60000000000002,45800.0,0.0,3,3,0,1,0.413,mortgage,250900,360,6.11,Refinance,0.909,Branch,1004,T,3775.0,1132.37,1522.06,0.703,0.703,0.403,0.437,20014.6,25785.4,2654.43,31853.16,5.539,270914.6,1120.57,0,GA,4.0,58000,1570,103,79,128
100033,614722,19,3,2010,Phone,REF0000,ACT-1,-1.149193,8,0,1,0,44,43700,4.9,full_time,high_school,Single,1,0,682,5,10.7,128.39999999999998,66200.0,0.0,1,1,0,0,0.303,personal,27100,48,15.23,Debt Consolidation,0.0,Branch,1005,F,3642.0,917.83,757.38,0.46,0.46,0.208,0.358,23699.6,42500.4,1675.21,20102.52,0.62,50799.6,1966.457,0,TX,4.1,61000,1510,103,90,880
100034,637944,21,1,2013,Phone,REF5316,ACT-2,-0.462812,11,0,1,1,37,118900,1.5,contract,some_college,Married,2,0,771,13,8.2,98.39999999999999,211700.0,0.0,5,5,0,0,0.284,personal,20700,24,11.64,Major Purchase,0.0,Branch,1048,N,9908.33,2201.94,970.94,0.32,0.32,0.098,0.62,131254.0,80446.0,3172.88,38074.56,0.174,151954.0,6735.453,0,CA,5.6,75000,2040,170,139,158
100035,600783,2,3,2013,Email,REF7260,ACT-2,0.350846,11,1,1,1,33,31600,5.9,part_time,some_college,Single,1,0,756,5,3.8,45.599999999999994,38800.0,0.0,1,1,0,0,0.165,personal,17300,36,10.43,Home Improvement,0.0,Online,1091,G,2633.33,315.0,561.72,0.333,0.333,0.213,0.515,19982.0,18818.0,876.72,10520.64,0.547,37282.0,1756.61,0,WI,4.0,60000,1590,108,88,125
100036,563641,7,1,2013,Phone,REF2390,ACT-3,-0.270418,7,3,1,1,30,72500,6.5,self_employed,graduate,Married,1,0,719,5,7.5,90.0,92700.0,0.0,1,1,0,0,0.33,personal,1300,48,11.13,Debt Consolidation,0.0,Broker,1005,G,6041.67,2173.13,33.68,0.365,0.365,0.006,0.547,50706.9,41993.1,2206.81,26481.72,0.018,52006.9,3834.857,0,TX,3.9,61000,1680,98,102,676
100037,635514,3,3,2014,Phone,REF0000,ACT-3,0.994258,7,0,1,1,39,37300,1.5,part_time,graduate,Married,1,0,772,10,13.5,162.0,94800.0,0.0,2,2,0,0,0.355,personal,21100,36,12.24,Other,0.0,Online,1079,U,3108.33,449.75,703.24,0.371,0.371,0.226,0.445,42186.0,52614.0,1152.99,13835.88,0.566,63286.0,1955.343,0,AZ,4.5,58000,1260,119,97,271
100038,629560,12,4,2022,Email,REF0000,ACT-1,0.827363,14,2,1,1,47,48500,3.7,full_time,graduate,Married,2,0,736,10,8.9,106.80000000000001,85400.0,0.0,4,4,0,0,0.247,credit_card,6900,0,16.73,Revolving Credit,0.0,Broker,1053,G,4041.67,259.77,207.0,0.115,0.115,0.051,0.444,37917.6,47482.4,466.77,5601.24,0.142,44817.6,3574.897,0,NC,4.1,54000,1220,110,90,917
100039,619202,7,3,2017,Email,REF0000,ACT-1,-0.235833,5,1,0,1,36,38500,3.4,full_time,some_college,Single,1,0,766,14,13.7,164.39999999999998,110300.0,0.0,1,1,0,0,0.329,credit_card,16400,0,16.76,Revolving Credit,0.0,Branch,1079,Y,3208.33,661.03,492.0,0.359,0.359,0.153,0.67,73901.0,36399.0,1153.03,13836.36,0.426,90301.0,2055.3,0,FL,5.3,55000,1320,112,93,555
100040,634300,16,6,2021,Mail,REF0000,ACT-1,-0.558171,12,1,0,0,45,33800,3.6,part_time,some_college,Married,1,0,681,10,11.6,139.2,77200.0,0.0,4,4,0,0,0.368,credit_card,11300,0,18.9,Revolving Credit,0.0,Online,1081,E,2816.67,751.31,339.0,0.387,0.387,0.12,0.473,36515.6,40684.4,1090.31,13083.72,0.334,47815.6,1726.357,0,MI,5.2,57000,1420,92,83,608
100041,553653,1,5,2014,Email,REF0000,ACT-1,-0.153288,10,2,1,1,39,73300,10.1,part_time,bachelor,Single,0,0,772,5,9.6,115.19999999999999,138200.0,0.0,0,0,0,0,0.33,credit_card,1600,0,17.22,Revolving Credit,0.0,Online,1048,K,6108.0,1387.26,48.0,0.235,0.235,0.008,0.692,95634.4,42565.6,1435.26,17223.12,0.022,97234.4,4673.07,0,CA,6.0,75000,1690,152,132,235
100042,577122,6,4,2016,Email,REF0000,ACT-2,-1.194247,3,1,1,0,28,22300,4.5,full_time,some_college,Married,3,0,670,1,10.0,120.0,54100.0,0.0,2,2,1,0,0.133,mortgage,323700,360,6.77,Home Purchase,0.781,Branch,1004,L,1858.33,425.59,2103.82,1.361,1.361,1.132,0.486,26292.6,27807.4,2529.41,30352.92,14.516,349992.6,-671.08,0,TX,3.8,61000,1450,105,96,560
100043,579753,8,2,2015,Email,REF8122,ACT-3,0.173838,9,3,1,0,36,34500,7.1,full_time,high_school,Married,0,0,666,15,11.6,139.2,86600.0,0.0,0,0,1,0,0.449,mortgage,210700,360,7.48,Home Purchase,0.691,Online,1041,B,2875.0,633.61,1470.36,0.732,0.732,0.511,0.394,34120.4,52479.6,2103.97,25247.64,6.107,244820.4,771.03,1,CA,5.4,75000,1670,158,117,800
100044,554715,17,2,2018,Email,REF0000,ACT-1,1.194375,8,0,1,1,29,69400,4.8,full_time,graduate,Married,1,0,696,10,11.0,132.0,208200.0,0.0,5,5,0,0,0.348,personal,17200,60,12.74,Home Improvement,0.0,Broker,1045,U,5783.33,1620.18,389.07,0.347,0.347,0.067,0.277,57671.4,150528.6,2009.25,24111.0,0.248,74871.4,3774.08,0,OH,4.7,56000,1290,86,74,386
100045,590578,23,6,2021,Phone,REF0000,ACT-3,0.011378,12,4,1,1,36,37100,1.8,self_employed,advanced,Single,1,0,738,7,17.0,204.0,108500.0,0.0,2,2,0,0,0.422,mortgage,268600,360,4.88,Refinance,0.778,Online,1058,K,3091.67,717.44,1422.27,0.692,0.692,0.46,0.706,76601.0,31899.0,2139.71,25676.52,7.24,345201.0,951.96,0,MO,3.9,55000,1290,93,80,603
100046,616998,4,4,2017,Phone,REF0000,ACT-1,1.447754,6,1,1,1,36,41400,5.1,full_time,graduate,Married,1,0,707,2,3.8,45.599999999999994,97100.0,0.0,1,1,0,1,0.229,personal,12300,24,10.86,Home Improvement,0.0,Broker,1045,N,3450.0,426.91,572.48,0.29,0.29,0.166,0.249,24177.9,72922.1,999.39,11992.68,0.297,36477.9,2450.61,0,IN,4.4,55000,1440,98,80,964
100047,623688,8,3,2017,Email,REF0000,ACT-3,0.91641,4,2,1,0,20,20000,2.5,full_time,some_college,Married,3,0,707,12,2.0,24.0,34400.0,0.0,1,1,0,0,0.27,mortgage,206900,360,6.61,Refinance,0.887,Online,997,K,1666.67,160.88,1322.75,0.89,0.89,0.794,0.39,13416.0,20984.0,1483.63,17803.56,10.345,220316.0,183.04,0,TX,3.8,61000,1430,102,89,494
100048,628784,20,3,2014,Phone,REF0000,ACT-1,-0.382806,11,1,1,0,54,47600,1.8,self_employed,bachelor,Divorced,1,0,745,9,10.8,129.60000000000002,40300.0,0.0,1,1,0,0,0.241,credit_card,3300,0,17.06,Revolving Credit,0.0,Branch,1080,I,3967.0,1133.37,99.0,0.311,0.311,0.025,0.112,4513.6,35786.4,1232.37,14788.44,0.069,7813.6,2734.3,0,FL,5.5,55000,1460,117,99,948
100049,585725,0,6,2018,Email,REF0000,ACT-1,2.588308,8,1,1,1,49,46900,4.5,full_time,graduate,Single,1,0,761,11,8.0,96.0,110400.0,0.0,2,2,0,0,0.259,personal,27900,36,9.56,Major Purchase,0.0,Broker,1069,G,3908.0,757.33,894.5,0.423,0.423,0.229,0.195,21528.0,88872.0,1651.83,19821.96,0.595,49428.0,2256.5,0,IL,4.8,65000,1320,97,79,301
100050,594626,4,6,2010,Email,REF0000,ACT-2,-0.959692,7,3,1,1,31,54300,9.3,full_time,some_college,Married,2,0,699,2,13.0,156.0,156700.0,0.0,0,0,0,0,0.278,personal,9700,36,12.81,Debt Consolidation,0.0,Online,1075,G,4525.0,849.71,325.94,0.26,0.26,0.072,0.646,101228.2,55471.8,1175.65,14107.8,0.179,110928.2,3349.35,0,MI,5.4,57000,1340,98,85,399
100051,568771,17,4,2023,Email,REF0000,ACT-1,0.284714,9,2,1,1,40,66800,6.7,self_employed,graduate,Married,1,0,731,10,19.9,238.79999999999998,181800.0,0.0,4,4,0,0,0.345,credit_card,9800,0,16.71,Revolving Credit,0.0,Online,1014,N,5567.0,553.47,294.0,0.152,0.152,0.053,0.316,57448.8,124351.2,847.47,10169.64,0.147,67248.8,4719.197,0,PA,4.7,61000,1580,95,83,769
100052,607795,20,6,2017,Email,REF0000,ACT-2,-0.231573,7,3,0,1,19,20000,1.1,part_time,high_school,Single,2,0,612,6,1.0,12.0,24600.0,1.0,3,3,0,0,0.132,mortgage,392900,180,9.03,Refinance,0.869,Branch,1050,H,1666.67,476.48,3992.07,2.681,2.681,2.395,0.515,12669.0,11931.0,4468.55,53622.6,19.645,405569.0,-2801.88,0,CA,5.4,75000,2010,159,129,836
100053,633016,3,3,2013,Email,REF0000,ACT-1,1.269839,8,2,0,0,44,25800,8.4,full_time,high_school,Married,4,0,718,9,5.4,64.80000000000001,61600.0,0.0,1,1,0,0,0.207,personal,21700,36,12.77,Home Improvement,0.0,Online,1041,M,2150.0,309.91,728.76,0.483,0.483,0.339,0.672,41395.2,20204.8,1038.67,12464.04,0.841,63095.2,1111.33,0,CA,5.6,75000,1800,164,128,854
100054,557612,4,2,2017,Email,REF0000,ACT-1,-1.120034,5,3,1,1,28,65000,6.7,full_time,bachelor,Married,1,0,680,5,9.4,112.80000000000001,121300.0,0.0,2,2,0,0,0.274,mortgage,64100,360,6.02,Refinance,0.921,Online,1057,N,5416.67,1453.47,385.14,0.339,0.339,0.071,0.421,51067.3,70232.7,1838.61,22063.32,0.986,115167.3,3578.06,0,MO,3.9,55000,1370,106,86,580
100055,583471,15,5,2019,Phone,REF8537,ACT-3,-0.17417,9,6,0,1,44,20000,2.6,part_time,high_school,Married,1,0,721,11,11.9,142.8,12700.0,0.0,1,1,0,0,0.422,mortgage,300600,360,4.96,Home Purchase,0.849,Online,1042,Q,1666.67,187.34,1606.35,1.076,1.076,0.964,0.838,10642.6,2057.4,1793.69,21524.28,15.03,311242.6,-127.023,0,CA,5.6,75000,1690,159,126,604
100056,634996,9,5,2019,Email,REF0000,ACT-1,-0.540269,9,3,1,1,40,61700,6.1,full_time,bachelor,Married,3,0,744,8,10.7,128.39999999999998,52300.0,0.0,2,2,0,0,0.277,personal,8500,60,9.25,Debt Consolidation,0.0,Online,1004,T,5141.67,1959.79,177.48,0.416,0.416,0.035,0.503,26306.9,25993.1,2137.27,25647.24,0.138,34806.9,3004.4,0,TX,3.8,61000,1550,101,89,526
100057,576179,4,0,2022,Email,REF4108,ACT-1,0.699526,15,3,1,1,44,47700,4.1,full_time,bachelor,Single,2,0,665,12,10.3,123.60000000000001,28100.0,0.0,3,3,0,0,0.409,personal,15900,48,13.52,Debt Consolidation,0.0,Broker,1052,L,3975.0,1039.58,430.67,0.37,0.37,0.108,0.294,8261.4,19838.6,1470.25,17643.0,0.333,24161.4,2504.75,0,MO,3.9,55000,1450,98,79,961
100058,582809,1,5,2011,Email,REF0000,ACT-2,0.017513,9,2,1,1,40,78400,4.9,self_employed,advanced,Single,0,0,749,8,13.6,163.2,72300.0,0.0,1,1,0,0,0.276,mortgage,270700,360,5.76,Home Purchase,0.752,Online,1054,E,6533.33,1111.22,1581.45,0.412,0.412,0.242,0.724,52345.2,19954.8,2692.67,32312.04,3.453,323045.2,3840.66,0,NC,4.0,54000,1270,112,88,618
